Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,
2019-08-13,1.1222,118.01,1.9558,N/A,25.829,7.4633,N/A,0.9283,323.98,N/A,N/A,N/A,4.3372,N/A,4.7249,10.7088,N/A,N/A,1.0853,139.1,10.0078,7.3928,73.6134,N/A,6.3141,1.6589,4.4773,1.4889,7.9303,8.8057,16067.1,3.9145,80.1865,1373.2,22.0302,4.7104,1.7417,58.743,1.5576,34.648,17.2289,
2019-08-12,1.1194,117.69,1.9558,N/A,25.831,7.4633,N/A,0.92615,324.65,N/A,N/A,N/A,4.3275,N/A,4.725,10.7315,N/A,N/A,1.0876,137.5,10.0003,7.3908,73.4092,N/A,6.2161,1.6589,4.466,1.4807,7.9014,8.7825,15951,3.8935,79.746,1364.55,21.9971,4.7022,1.7352,58.424,1.552,34.506,17.2164,
2019-08-09,1.1198,118.51,1.9558,N/A,25.828,7.4631,N/A,0.9282,324.78,N/A,N/A,N/A,4.3191,N/A,4.7264,10.6972,N/A,N/A,1.0897,137.3,9.9588,7.3915,73.2133,N/A,6.1452,1.6452,4.3994,1.4796,7.9039,8.779,15889.96,3.8951,79.2935,1356.25,21.7803,4.6858,1.7254,58.207,1.5481,34.4,17.006,
2019-08-08,1.1193,118.64,1.9558,N/A,25.789,7.4631,N/A,0.92115,325.08,N/A,N/A,N/A,4.3227,N/A,4.73,10.753,N/A,N/A,1.0923,137.3,10.018,7.3814,73.1407,N/A,6.1367,1.6483,4.4283,1.4874,7.8873,8.7774,15903.01,3.8948,79.175,1353.16,21.925,4.6843,1.7335,58.347,1.5483,34.413,16.9516,
2019-08-07,1.1202,118.48,1.9558,N/A,25.719,7.4631,N/A,0.92353,325.38,N/A,N/A,N/A,4.3174,N/A,4.7308,10.7673,N/A,N/A,1.0921,136.5,9.996,7.3823,73.0455,N/A,6.1614,1.6628,4.4438,1.492,7.8957,8.7834,15941.29,3.8996,79.402,1361.74,21.9583,4.6925,1.7411,58.562,1.549,34.485,16.7546,
2019-08-06,1.1187,119.1,1.9558,N/A,25.727,7.4644,N/A,0.9183,325.35,N/A,N/A,N/A,4.3119,N/A,4.73,10.7267,N/A,N/A,1.0919,136.5,9.9545,7.384,72.7977,N/A,6.1906,1.6467,4.4099,1.4785,7.8521,8.767,15958.26,3.9088,79.215,1357.32,21.8702,4.684,1.7073,58.269,1.5441,34.394,16.5635,
2019-08-05,1.1182,118.61,1.9558,N/A,25.776,7.4658,N/A,0.9188,326.99,N/A,N/A,N/A,4.3142,N/A,4.7325,10.7603,N/A,N/A,1.0893,136.3,9.972,7.3805,72.6588,N/A,6.199,1.652,4.3805,1.4775,7.8705,8.7638,16006.7,3.9012,79.1529,1359.84,21.8221,4.6724,1.7138,58.191,1.5453,34.435,16.6794,
2019-08-02,1.1106,118.57,1.9558,N/A,25.763,7.466,N/A,0.91505,326.96,N/A,N/A,N/A,4.3014,N/A,4.7345,10.7223,N/A,N/A,1.0931,136.3,9.9105,7.3815,72.5055,N/A,6.2221,1.6365,4.2958,1.4698,7.7058,8.6924,15772.45,3.8786,77.34,1333.44,21.4542,4.6173,1.7026,57.307,1.529,34.157,16.3271,
2019-08-01,1.1037,120.18,1.9558,N/A,25.742,7.466,N/A,0.9115,326.55,N/A,N/A,N/A,4.2979,N/A,4.7322,10.6868,N/A,N/A,1.0988,136.1,9.812,7.383,70.577,N/A,6.1516,1.6135,4.2223,1.4602,7.6177,8.6367,15623.97,3.8864,76.272,1313.68,21.2057,4.5734,1.6856,56.502,1.5178,34.099,15.9959,
2019-07-31,1.1151,121.04,1.9558,N/A,25.658,7.4674,N/A,0.91623,326.48,N/A,N/A,N/A,4.2912,N/A,4.7338,10.6645,N/A,N/A,1.1041,134.7,9.7778,7.3823,70.8041,N/A,6.161,1.6175,4.218,1.4662,7.6743,8.7289,15639.3,3.8951,76.6965,1318.25,21.2005,4.6015,1.6883,56.685,1.5261,34.273,15.8634,
